FraNode,MyNode,nDups,Lon,Lat
347721,2770,3,-101.304909,48.23269
347725,2771,3,-101.299084,48.23545
347728,2772,3,-101.298329,47.818622
347848,2773,3,-101.223302,41.171718
347876,2774,1,-101.206237,36.192645
347948,2775,3,-101.15691,40.838841
347965,2776,3,-101.149,48.237759
347975,2777,1,-101.142905,47.373373
348022,2778,3,-101.100396,47.37358
348027,2779,3,-101.09768,47.376414
348030,2780,3,-101.096643,47.372389
348045,2781,3,-101.086024,41.159619
348050,2782,3,-101.083933,41.164013
348064,2783,3,-101.070939,41.160409
348120,2784,3,-101.039826,39.401402
348140,2785,1,-101.024124,38.032641
348179,2786,3,-100.997939,37.437492
348180,2787,3,-100.997476,37.441044
348181,2788,2,-100.997034,36.998383
348190,2789,3,-100.992406,37.439304
348215,2790,1,-100.98124,37.936684
348254,2791,3,-100.962057,37.980621
348268,2792,3,-100.954031,35.537419
348326,2793,1,-100.914695,38.331435
348330,2794,3,-100.912757,38.487124
348390,2795,3,-100.89468,37.970225
348396,2796,3,-100.89268,37.971451
348398,2797,3,-100.892648,37.969034
348402,2798,3,-100.89129,38.487641
348403,2799,3,-100.89116,38.48737
348407,2800,3,-100.88998,38.487827
348408,2801,3,-100.889764,38.487619
348431,2802,3,-100.881292,37.965556
348452,2803,3,-100.872781,46.828071
348473,2804,3,-100.861424,39.124344
348484,2805,3,-100.859571,39.127012
348485,2806,1,-100.859492,35.549198
348499,2807,3,-100.855133,39.124713
348552,2808,3,-100.84045,40.22205
348702,2809,1,-100.762578,46.805694
348719,2810,3,-100.75579,46.80551
348731,2811,3,-100.752781,46.802626
348732,2812,3,-100.751613,46.802268
348738,2813,4,-100.747985,46.801268
348740,2814,3,-100.745272,46.799578
348741,2815,3,-100.745209,46.802849
348743,2816,3,-100.744081,46.798866
348746,2817,3,-100.742766,46.804548
348747,2818,3,-100.74164,46.797506
348805,2819,1,-100.689493,48.690867
348873,2820,1,-100.619936,38.598447
348900,2821,1,-100.576302,32.460907
348946,2822,3,-100.532584,32.448025
348958,2823,2,-100.527645,40.001879
348963,2824,1,-100.524732,39.817297
348977,2825,1,-100.510084,28.696383
348992,2826,1,-100.498626,28.693646
348994,2827,3,-100.498414,28.700573
349022,2828,1,-100.456661,48.841482
349023,2829,1,-100.45626,32.242056
349071,2830,3,-100.432101,46.822837
349098,2831,3,-100.417668,31.480947
349115,2832,3,-100.411244,31.486116
349144,2833,3,-100.403076,47.927605
349149,2834,3,-100.401399,29.167816
349154,2835,3,-100.39996,29.16314
349158,2836,3,-100.39933,32.507706
349162,2837,3,-100.397685,32.504723
349165,2838,3,-100.396765,29.164445
349166,2839,3,-100.396117,47.923565
349172,2840,3,-100.39432,32.50641
349198,2841,3,-100.369841,47.92006
349279,2842,3,-100.307082,32.512191
349280,2843,3,-100.306931,32.511964
349483,2844,3,-100.085157,29.243122
349491,2845,1,-100.07426,29.16233
349498,2846,1,-100.066167,44.695643
349540,2847,3,-100.029678,39.786341
349555,2848,3,-100.022329,37.752564
349570,2849,3,-100.012211,48.368924
349588,2850,3,-100.0091,48.371881
349610,2851,2,-100.0004,36.127877
349612,2852,2,-100.00028,36.36727
349624,2853,3,-99.992312,44.508679
349627,2854,3,-99.99045,44.502436
349640,2855,3,-99.98511,44.512185
349642,2856,3,-99.984878,48.370185
349668,2857,3,-99.956467,37.754384
349674,2858,1,-99.951552,37.736771
349766,2859,3,-99.878605,36.27967
349782,2860,1,-99.86663,35.21711
349811,2861,3,-99.826535,34.31683
349886,2862,1,-99.744026,32.401082
349897,2863,1,-99.73906,32.51475
349904,2864,3,-99.735052,39.867986
349906,2865,2,-99.734248,34.412437
349907,2866,3,-99.733797,34.3103
349916,2867,3,-99.731554,34.307764
349917,2868,3,-99.731525,34.298626
349923,2869,3,-99.730508,34.312072
349937,2870,3,-99.726248,32.448374
349939,2871,3,-99.725741,32.441579
349940,2872,3,-99.725296,32.444984
349946,2873,3,-99.721438,32.447834
349958,2874,1,-99.710855,38.123091
349966,2875,1,-99.705418,48.502286
350060,2876,1,-99.619174,48.860304
350070,2877,3,-99.598547,40.234735
350075,2878,3,-99.588433,48.316465
350079,2879,3,-99.584913,48.319194
350084,2880,3,-99.579497,48.313993
350096,2881,1,-99.566461,38.583198
350137,2882,1,-99.532969,47.963745
350159,2883,2,-99.51795,40.00194
350164,2884,1,-99.517002,27.510939
350172,2885,4,-99.516248,27.500125
350174,2886,1,-99.516248,27.498247
350176,2887,3,-99.516032,27.512552
350177,2888,3,-99.515415,40.131763
350194,2889,3,-99.507076,27.559787
350283,2890,3,-99.472464,27.661892
350284,2891,3,-99.472338,40.133608
350286,2892,3,-99.470444,40.138444
350287,2893,1,-99.469236,27.668863
350292,2894,3,-99.465575,27.664425
350294,2895,3,-99.46547,40.13308
350297,2896,3,-99.464982,27.664545
350299,2897,3,-99.463495,27.664549
350397,2898,1,-99.418404,27.666821
350451,2899,1,-99.39741,36.445417
350468,2900,3,-99.39324,40.434418
350470,2901,3,-99.393082,40.430799
350497,2902,3,-99.386654,36.437147
350501,2903,3,-99.38555,40.432479
350506,2904,3,-99.381598,48.629485
350517,2905,3,-99.3728,48.622138
350519,2906,3,-99.372037,31.777102
350520,2907,3,-99.37088,31.779777
350521,2908,3,-99.370819,48.625598
350525,2909,3,-99.366734,31.775004
350547,2910,1,-99.353578,34.485196
350557,2911,3,-99.345861,34.625265
350569,2912,3,-99.345065,34.652
350570,2913,1,-99.34498,34.653571
350576,2914,3,-99.3445,34.649921
350584,2915,3,-99.341717,34.629438
350609,2916,1,-99.329279,31.139277
350661,2917,3,-99.322223,34.630697
350662,2918,3,-99.321964,34.631297
350670,2919,3,-99.320162,34.630684
350671,2920,3,-99.319377,34.629196
350674,2921,1,-99.318744,43.807663
350693,2922,1,-99.3087,47.139504
350769,2923,1,-99.240916,38.076583
350813,2924,3,-99.203595,48.270903
350823,2925,3,-99.199739,48.27237
350825,2926,3,-99.198116,48.268937
350852,2927,1,-99.173785,34.087077
350864,2928,3,-99.162341,34.133305
