yNum,Yard,nLinks,State,OneNode,Lon,Lat,include
462,MCALESTER,1,OK,367312,-95.764821,34.949677,TRUE
463,MCCULLOUGH,1,OH,432704,-84.43593,39.16994,TRUE
464,MCGEHEE,5,AR,389092,-91.40076,33.618688,TRUE
465,MEADOW CREEK,2,WV,454615,-80.922114,37.791799,TRUE
466,MEADOWS,6,NJ,488100,-74.169009,40.716117,TRUE
467,MEADOWS IMF,1,NJ,489050,-74.111509,40.72076,TRUE
468,MEMPHIS INTERMODAL TERM,2,TN,396179,-90.149969,35.046116,TRUE
469,"Memphis, TN",3,TN,396254,-90.146835,35.046781,TRUE
470,"Memphis, TN - Rossville",1,MS,399448,-89.854201,34.985132,TRUE
471,MERIDIAN (KCS),3,MS,405872,-88.714117,32.352295,TRUE
472,MERIDIAN (NS),1,MS,405727,-88.723287,32.356251,TRUE
473,METROLINK SHOPS YARD,1,CA,321440,-118.233061,34.094404,TRUE
474,"Miami, FL",1,FL,458544,-80.309739,25.839026,TRUE
475,"Miami, FL - Port of Miami Terminal Operating Company (POMTOC)",1,FL,459893,-80.18815,25.83669,TRUE
476,MIDDLEBORO,1,MA,495221,-70.925544,41.886567,TRUE
477,MILLDALE,1,FL,450116,-81.647449,30.377241,TRUE
478,MILLEN,1,GA,447937,-81.948927,32.800689,TRUE
479,MILLINOCKET,1,ME,496379,-68.716034,45.664632,TRUE
480,MILLSTONE,1,WV,446945,-82.093479,37.689631,TRUE
481,MINDEN,1,LA,381485,-93.292802,32.59692,TRUE
482,MINGO (WE),1,OH,456147,-80.661875,40.237534,TRUE
483,"Minneapolis, MN - Shoreham Yard",3,MN,381909,-93.26265,45.016189,TRUE
484,MISSOURI VALLEY,1,IA,366510,-95.901241,41.555131,TRUE
485,M-K,1,TX,370157,-95.289311,29.773528,TRUE
486,MOBILE ($AGR),1,AL,410601,-88.057932,30.722131,TRUE
487,MOBILE (CN),1,AL,410075,-88.119529,30.707614,TRUE
488,MOCKINGBIRD,1,TX,360787,-96.900331,32.814114,TRUE
489,MOJAVE YARD,1,CA,322569,-118.176087,35.058318,TRUE
490,MONROE STATION,3,LA,386360,-92.12562,32.498279,TRUE
491,MONTPELIER,1,ID,334613,-111.577019,42.640783,TRUE
492,MOPAC,2,TX,339088,-106.467716,31.761777,TRUE
493,MORGANTOWN STORAGE,1,MD,476332,-76.964044,38.364036,TRUE
494,MORMON YARD,1,CA,313974,-121.265425,37.948905,TRUE
495,"Morrisville, PA",3,PA,485551,-74.893146,40.187001,TRUE
496,MOSS POINT,1,MS,407631,-88.487773,30.516253,TRUE
497,MURRAY,4,MO,374911,-94.589359,39.118918,TRUE
498,MUSCATINE,2,IA,390529,-91.075602,41.393655,TRUE
499,NAMPA,4,ID,327138,-116.566565,42.946537,TRUE
500,NAPA JUNCTION YARD,1,CA,308776,-122.252907,38.188679,TRUE
501,"Nashville, TN",1,TN,421934,-86.757773,36.083653,TRUE
502,NAUGATUCK,1,WV,445836,-82.348349,37.792032,TRUE
503,NEFF,3,MO,375091,-94.569043,39.114337,TRUE
504,NEVADA,1,MO,376610,-94.348102,37.839187,TRUE
505,NEW,3,MD,358067,-97.338529,32.788134,TRUE
506,NEW CASTLE,5,PA,457752,-80.370993,40.920778,TRUE
507,NEW ORLEANS (SHREWSBURY,1,LA,396352,-90.142538,29.972839,TRUE
508,NEW ORLEANS (SHREWSBURY),2,LA,396352,-90.15778,29.972839,TRUE
509,"New Orleans, LA",8,LA,394569,-90.245858,29.913731,TRUE
510,NEW RIVER,2,OH,431845,-84.53633,39.428085,TRUE
511,NEW SOUTH,1,TX,369563,-95.333151,29.715171,TRUE
512,NEWCASTLE,2,PA,457849,-80.366207,40.93462,TRUE
513,NIAGARA,2,NY,467106,-79.05226,43.110098,TRUE
514,NORFOLK,1,NE,356391,-97.520811,41.475807,TRUE
515,Norfolk International Terminals (NIT),1,VA,480026,-76.31877,36.91676,TRUE
516,"Norfolk, VA - Portlock",3,VA,480106,-76.308785,36.772677,TRUE
517,NORPAUL,1,IL,412692,-87.857884,41.93155,TRUE
518,NORRIS,1,AL,422388,-86.683131,33.556361,TRUE
519,NORTH,10,CO,340745,-105.000024,29.754897,TRUE
520,NORTH (CN),2,IL,404569,-88.91733,39.87407,TRUE
521,"North Baltimore, OH - Northwest Ohio ICTF",3,OH,436262,-83.899861,41.152075,TRUE
522,"North Bergen, NJ",3,NJ,489665,-74.058969,40.753222,TRUE
523,NORTH CHARLESTON,1,SC,461299,-79.995004,32.865336,TRUE
524,"North Charleston Terminal, SC",1,SC,461451,-79.980086,32.895935,TRUE
525,NORTH COUNCIL BLUFFS,1,IA,366532,-95.897663,41.547102,TRUE
526,NORTH END,1,OK,354829,-97.86188,36.438694,TRUE
527,NORTH GULFPORT,1,MS,403426,-89.095997,30.422475,TRUE
528,NORTH JACKSON,2,MS,395432,-90.191825,32.307847,TRUE
529,NORTH LITTLE ROCK,2,AR,385895,-92.250595,34.763673,TRUE
530,NORTH PORT,1,SC,461512,-79.973699,32.861926,TRUE
531,NORTH ST LOUIS,1,MO,395565,-90.187011,38.654044,TRUE
532,NORTH TOPEKA,2,KS,367767,-95.676799,39.069354,TRUE
533,NORTHERN MAINE JUNCTION,1,ME,496228,-68.868608,44.789321,TRUE
534,NORTHERN MAINE JUNCTION (MMA),3,ME,496219,-68.870318,44.783316,TRUE
535,NORTHERN MAINE JUNCTION (ST),3,ME,496268,-68.860215,44.787614,TRUE
536,NORTON,1,VA,443823,-82.634271,36.930669,TRUE
