,energy_system_scenario,oil_prices,renewables_prices,hydrogen_subsidies,region,year,energy_price,technology,energy_price_unit,upstream_CO2_emission_factor,CO2_emission_factor_unit
41,50% CO2 reduction by 2050,High,Advanced,No,south_east,2050,4.58920669,Biodiesel,$/Gallon,2.4,kgCO2/gallon
42,50% CO2 reduction by 2050,High,Advanced,No,south_west,2025,1.85810013,Biodiesel,$/Gallon,2.4,kgCO2/gallon
43,50% CO2 reduction by 2050,High,Advanced,No,south_west,2030,3.739671077,Biodiesel,$/Gallon,2.4,kgCO2/gallon
44,50% CO2 reduction by 2050,High,Advanced,No,south_west,2035,2.930129395,Biodiesel,$/Gallon,2.4,kgCO2/gallon
45,50% CO2 reduction by 2050,High,Advanced,No,south_west,2040,2.295835787,Biodiesel,$/Gallon,2.4,kgCO2/gallon
46,50% CO2 reduction by 2050,High,Advanced,No,south_west,2045,1.798872277,Biodiesel,$/Gallon,2.4,kgCO2/gallon
47,50% CO2 reduction by 2050,High,Advanced,No,south_west,2050,1.409479766,Biodiesel,$/Gallon,2.4,kgCO2/gallon
48,50% CO2 reduction by 2050,High,Advanced,No,texas,2025,13.1830485,Biodiesel,$/Gallon,2.4,kgCO2/gallon
49,50% CO2 reduction by 2050,High,Advanced,No,texas,2030,10.4410708,Biodiesel,$/Gallon,2.4,kgCO2/gallon
50,50% CO2 reduction by 2050,High,Advanced,No,texas,2035,8.525228132,Biodiesel,$/Gallon,2.4,kgCO2/gallon
51,50% CO2 reduction by 2050,High,Advanced,No,texas,2040,6.878657222,Biodiesel,$/Gallon,2.4,kgCO2/gallon
52,50% CO2 reduction by 2050,High,Advanced,No,texas,2045,5.293198361,Biodiesel,$/Gallon,2.4,kgCO2/gallon
53,50% CO2 reduction by 2050,High,Advanced,No,texas,2050,4.432842237,Biodiesel,$/Gallon,2.4,kgCO2/gallon
54,50% CO2 reduction by 2050,High,Advanced,Yes,california,2025,1.858177551,Biodiesel,$/Gallon,2.4,kgCO2/gallon
55,50% CO2 reduction by 2050,High,Advanced,Yes,california,2030,3.740057775,Biodiesel,$/Gallon,2.4,kgCO2/gallon
56,50% CO2 reduction by 2050,High,Advanced,Yes,california,2035,2.930237337,Biodiesel,$/Gallon,2.4,kgCO2/gallon
57,50% CO2 reduction by 2050,High,Advanced,Yes,california,2040,2.295905981,Biodiesel,$/Gallon,2.4,kgCO2/gallon
58,50% CO2 reduction by 2050,High,Advanced,Yes,california,2045,1.798913936,Biodiesel,$/Gallon,2.4,kgCO2/gallon
59,50% CO2 reduction by 2050,High,Advanced,Yes,california,2050,1.409484599,Biodiesel,$/Gallon,2.4,kgCO2/gallon
60,50% CO2 reduction by 2050,High,Advanced,Yes,central,2025,6.799354875,Biodiesel,$/Gallon,2.4,kgCO2/gallon
61,50% CO2 reduction by 2050,High,Advanced,Yes,central,2030,5.132262563,Biodiesel,$/Gallon,2.4,kgCO2/gallon
62,50% CO2 reduction by 2050,High,Advanced,Yes,central,2035,4.1270183,Biodiesel,$/Gallon,2.4,kgCO2/gallon
63,50% CO2 reduction by 2050,High,Advanced,Yes,central,2040,3.151340343,Biodiesel,$/Gallon,2.4,kgCO2/gallon
64,50% CO2 reduction by 2050,High,Advanced,Yes,central,2045,2.576460924,Biodiesel,$/Gallon,2.4,kgCO2/gallon
65,50% CO2 reduction by 2050,High,Advanced,Yes,central,2050,2.057056976,Biodiesel,$/Gallon,2.4,kgCO2/gallon
66,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2025,6.800767323,Biodiesel,$/Gallon,2.4,kgCO2/gallon
67,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2030,5.130858226,Biodiesel,$/Gallon,2.4,kgCO2/gallon
68,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2035,5.552825681,Biodiesel,$/Gallon,2.4,kgCO2/gallon
69,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2040,6.036176182,Biodiesel,$/Gallon,2.4,kgCO2/gallon
70,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2045,5.126211328,Biodiesel,$/Gallon,2.4,kgCO2/gallon
71,50% CO2 reduction by 2050,High,Advanced,Yes,middle_atlantic,2050,4.286840723,Biodiesel,$/Gallon,2.4,kgCO2/gallon
72,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2025,14.76053176,Biodiesel,$/Gallon,2.4,kgCO2/gallon
73,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2030,11.0766295,Biodiesel,$/Gallon,2.4,kgCO2/gallon
