energy_system_scenario,freight_demand_scenario,year,region,technology,train_energy_consumption,train_energy_consumption_unit,energy_consumption_at_the_well (GJ),upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
Reference/business as usual,Agricultural Reduction,2025.0,south_east,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_east,catenary,3936449450.739904,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_east,diesel,746207141.6829004,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_east,hydrogen,280276144.0714251,kgH2,0.0,15.1,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,south_west,battery,580026787.3079474,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_west,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_west,catenary,702801335.2756845,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,south_west,diesel,144301846.74776614,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,south_west,hydrogen,46474626.93361418,kgH2,0.0,10.5,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2025.0,texas,battery,1978600018.1681008,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,texas,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,texas,catenary,2505616369.255116,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2025.0,texas,diesel,460030651.8188621,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2025.0,texas,hydrogen,187178302.9816537,kgH2,0.0,15.4,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,california,battery,4570984257.691674,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,california,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,california,catenary,6298602128.422513,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,california,diesel,557007038.5765908,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,california,hydrogen,302684293.8174604,kgH2,0.0,12.0,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,central,battery,3939349430.016064,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,central,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,central,catenary,4869399320.972846,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,central,diesel,535948166.6505865,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,central,hydrogen,289574910.9203457,kgH2,0.0,15.2,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,middle_atlantic,battery,5448656929.44526,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,middle_atlantic,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,middle_atlantic,catenary,6657317684.569339,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,middle_atlantic,diesel,768694154.4731718,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,middle_atlantic,hydrogen,384695418.3398103,kgH2,0.0,15.1,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,north_central,battery,3972207028.132652,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_central,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_central,catenary,4571970210.020952,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_central,diesel,611570659.0519663,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_central,hydrogen,178503228.63621637,kgH2,0.0,12.8,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,north_east,battery,1542322782.6310704,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_east,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_east,catenary,1890774234.005437,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_east,diesel,234238013.0464053,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_east,hydrogen,81985251.81426314,kgH2,0.0,12.6,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,north_west,battery,1344371313.0423374,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_west,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_west,catenary,1685836287.9557006,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,north_west,diesel,196538878.3489976,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,north_west,hydrogen,86142166.95741567,kgH2,0.0,14.7,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,south_east,battery,4514244308.432347,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,south_east,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,south_east,catenary,5686261288.701509,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,south_east,diesel,640436056.1025579,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,south_east,hydrogen,300685524.00194925,kgH2,0.0,11.3,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,south_west,battery,832144325.6552145,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,south_west,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,south_west,catenary,1019541310.7066492,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,south_west,diesel,124214914.46287552,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,south_west,hydrogen,50006652.196070224,kgH2,0.0,11.9,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
Reference/business as usual,Agricultural Reduction,2030.0,texas,battery,2835144901.399687,kWh,0.0,0.3,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,texas,biodiesel,0.0,gallon,0.0,2.4,5.05,kgCO2/gallon,0.004,0.00044,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,texas,catenary,3622904624.5274634,kWh,0.0,0.4,0.0,kgCO2/kWh,0.001,0.0,kgCH4/kWh
Reference/business as usual,Agricultural Reduction,2030.0,texas,diesel,395507999.0950488,gallon,0.0,1.6,10.1,kgCO2/gallon,0.014,0.00088,kgCH4/gallon
Reference/business as usual,Agricultural Reduction,2030.0,texas,hydrogen,201156476.7303547,kgH2,0.0,13.5,0.0,kgCO2/kgH2,0.031,0.0,kgCH4/kgH2
