energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_locomotives,number_of_tender_cars,locomotive_hours,tender_hours,cost_per_locomotive ($),cost_per_tender ($),cost_per_locomotive_hour ($),cost_per_tender_hour ($)
Reference/business as usual,Agricultural Reduction,2025,south_west,hydrogen,261.4939381538462,336.20649191208804,277777.1751087951,634919.2573915318,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,texas,battery,575.3680056923076,739.7588644615385,611196.1921471395,1397019.86776489,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,texas,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,texas,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,texas,diesel,958.9466761538462,0.0,1018660.3202452324,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2025,texas,hydrogen,383.57867046153854,493.17257630769245,407464.128098093,931346.5785099268,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,california,battery,334.0569476923077,429.50178989010993,354858.6858669057,675921.3064131538,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,california,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,california,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,california,diesel,334.0569476923077,0.0,354858.6858669057,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,california,hydrogen,167.02847384615384,214.75089494505497,177429.34293345286,337960.6532065769,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,central,battery,1162.185684923077,1494.2387377582418,1234555.0294167087,2351533.389365159,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,central,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,central,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,central,diesel,1162.185684923077,0.0,1234555.0294167087,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,central,hydrogen,581.0928424615385,747.1193688791209,617277.5147083544,1175766.6946825795,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,battery,874.2290996923075,1124.0088424615385,928667.3772436077,1768890.2423687766,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,diesel,874.2290996923075,0.0,928667.3772436077,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,hydrogen,437.11454984615375,562.0044212307691,464333.68862180377,884445.1211843883,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_central,battery,2287.816700923077,2941.4786154725275,2430279.129358809,4629103.103540589,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_central,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_central,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_central,diesel,2287.816700923077,0.0,2430279.129358809,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_central,hydrogen,1143.9083504615385,1470.7393077362638,1215139.5646794045,2314551.5517702946,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_east,battery,135.20947384615388,173.84075208791214,143628.97265646886,273578.9955361312,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_east,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_east,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_east,diesel,135.20947384615388,0.0,143628.97265646886,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_east,hydrogen,67.60473692307694,86.92037604395607,71814.48632823443,136789.4977680656,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_west,battery,1583.9865163076922,2036.5540923956044,1682621.413776358,3204993.169097825,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_west,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_west,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_west,diesel,1583.9865163076922,0.0,1682621.413776358,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,north_west,hydrogen,791.9932581538461,1018.2770461978022,841310.7068881791,1602496.5845489125,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_east,battery,1174.3019827692308,1509.816834989011,1247425.8095665004,2376049.161079048,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_east,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_east,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_east,diesel,1174.3019827692308,0.0,1247425.8095665004,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_east,hydrogen,587.1509913846154,754.9084174945056,623712.9047832502,1188024.580539524,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_west,battery,563.9187360000002,725.0383748571431,599033.9760183785,1141017.0971778638,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_west,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_west,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_west,diesel,563.9187360000002,0.0,599033.9760183785,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,south_west,hydrogen,281.9593680000001,362.5191874285716,299516.98800918926,570508.5485889319,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,texas,battery,850.6948313846153,1093.7504974945057,903667.629200052,1721271.6746667663,3500000,190000,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,texas,biodiesel,0.0,0.0,0.0,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,texas,catenary,0.0,0.0,0.0,0.0,0,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,texas,diesel,850.6948313846153,0.0,903667.629200052,0.0,3500000,0,93.09,23.27
Reference/business as usual,Agricultural Reduction,2030,texas,hydrogen,425.34741569230766,546.8752487472527,451833.814600026,860635.8373333832,3500000,190000,93.09,23.27
