energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_O&M_cost ($/year)
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,hydrogen,55,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,middle_atlantic,battery,52,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,hydrogen,45,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_central,battery,50,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,hydrogen,56,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_east,battery,51,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,hydrogen,50,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,north_west,battery,51,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,hydrogen,43,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,south_east,battery,48,8176796,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,hydrogen,55,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,south_west,battery,39,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,hydrogen,46,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2030,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2030,texas,battery,47,15179882,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,hydrogen,55,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,california,battery,49,7167083,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,hydrogen,51,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,central,battery,50,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,hydrogen,55,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,middle_atlantic,battery,51,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_central,hydrogen,52,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,north_central,battery,50,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_east,hydrogen,40,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,north_east,battery,39,2028007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_west,hydrogen,39,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,north_west,battery,47,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_east,hydrogen,42,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,south_east,battery,55,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_west,hydrogen,44,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,south_west,battery,41,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,texas,hydrogen,39,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2035,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2035,texas,battery,38,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,california,hydrogen,44,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,california,battery,39,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,central,hydrogen,49,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,central,battery,49,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,hydrogen,44,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,middle_atlantic,battery,50,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_central,diesel,0,0,26200014,460833.7237,455000000
