Unit No,"Type (1,17)",Tare(ton),Net(ton),Gross(ton),Len(ft),Axles(n),aRes,bRes*1000,cRes*1000,eMax(MWh),eInit(MWh),teMax (kips),ptMax (kw),catMax (kw),batMax (kw),auxMax (kw),rbMax (kw),dbMax (kw)
91,12,33.0,110.0,143.0,4.0,4,105,45,0.5,0,0,0,0,0,0,0,0,0
92,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
93,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
94,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
95,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
96,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
97,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
98,13,22.0,121.0,143.0,4.0,4,105,45,0.42,0,0,0,0,0,0,0,0,0
99,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
100,11,22.5,87.5,110.0,4.0,4,160,45,0.5,0,0,0,0,0,0,0,0,0
101,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
102,14,40.5,102.6,143.1,4.0,4,110,45,0.5,0,0,0,0,0,0,0,0,0
103,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
104,1,214.0,0.0,214.0,74.5,6,120,30,2.4,0,0,107,2420,0,0,2420,0,2500
105,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
106,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
107,17,1.0,1.0,2.0,4.0,4,105,45,0.12,0,0,0,0,0,0,0,0,0
