Notch	Diesel	BioDiesel	DieHyb	BioHyb	HydHyb	BatLoco	BatTend	HydTend
0	0	0	0	0	0	0	0	0
1	0.042352941	0.042352941	0.042352941	0.042352941	0.042352941	0.042352941	0.042352941	0.042352941
2	0.108235294	0.108235294	0.108235294	0.108235294	0.108235294	0.108235294	0.108235294	0.108235294
3	0.229411765	0.229411765	0.229411765	0.229411765	0.229411765	0.229411765	0.229411765	0.229411765
4	0.34	0.34	0.34	0.34	0.34	0.34	0.34	0.34
5	0.485882353	0.485882353	0.485882353	0.485882353	0.485882353	0.485882353	0.485882353	0.485882353
6	0.652941176	0.652941176	0.652941176	0.652941176	0.652941176	0.652941176	0.652941176	0.652941176
7	0.823529412	0.823529412	0.823529412	0.823529412	0.823529412	0.823529412	0.823529412	0.823529412
8	1	1	1	1	1	1	1	1
