,"Unit No	""Type (1","17)""	Tare(ton)	Net(ton)	Gross(ton)	Len(ft)	Axles(n)	aRes	bRes*1000	cRes*1000	eMax(MWh)	eInit(MWh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)"
0,1	5	214	0	214	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
1,2	5	231.2	0	231.2	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
2,3	5	221.2	0	221.2	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
3,4	8	109.7	0	109.7	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
4,5	8	108.7	0	108.7	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
5,6	8	107.7	0	107.7	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
6,7	11	108.5	87.5	196	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
7,8	12	157	110	267	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
8,9	12	30.8	110	140.8	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
9,10	11	99.2	87.5	186.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
10,11	12	155.5	110	265.5	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
11,12	11	118.1	87.5	205.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
12,13	11	104.1	87.5	191.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
13,14	11	107.2	87.5	194.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
14,15	12	130.2	110	240.2	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
15,16	12	35	110	145	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
16,17	11	100.6	87.5	188.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
17,18	12	33	110	143	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
18,19	11	24.3	87.5	111.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
19,20	11	21.4	87.5	108.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
20,21	11	23.2	87.5	110.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
21,22	11	107.7	87.5	195.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
22,23	13	153.7	121	274.7	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
23,24	11	101.6	87.5	189.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
24,25	11	21	87.5	108.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
25,26	13	139.7	121	260.7	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
26,27	13	129.9	121	250.9	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
27,28	11	119	87.5	206.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
28,29	11	111	87.5	198.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
29,30	14	141.3	102.6	243.9	4	4	110	45	0.5	0	0	0	0	0	0	0	0	0,
30,31	14	146.7	102.6	249.29999999999998	4	4	110	45	0.5	0	0	0	0	0	0	0	0	0,
31,32	11	119.4	87.5	206.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
32,33	11	23.2	87.5	110.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
33,34	11	21.4	87.5	108.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
34,35	11	114.1	87.5	201.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
35,36	11	120.7	87.5	208.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
36,37	11	21	87.5	108.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
37,38	11	117.7	87.5	205.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
38,39	11	23.2	87.5	110.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
39,40	11	107.4	87.5	194.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
40,41	11	24.2	87.5	111.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
41,42	11	108.4	87.5	195.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
42,43	12	150.1	110	260.1	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
43,44	12	32.6	110	142.6	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
44,45	11	120.6	87.5	208.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
45,46	12	33.4	110	143.4	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
46,47	11	22.7	87.5	110.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
47,48	11	21.8	87.5	109.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
48,49	13	21.2	121	142.2	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
49,50	11	21.3	87.5	108.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
50,51	11	20.7	87.5	108.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
51,52	11	115.5	87.5	203	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
52,53	11	20.8	87.5	108.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
53,54	5	197.2	0	197.2	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
