,Dist(mi)	SpdLim(mph)	Grade(%)	Curve(Doc)	Catenary(Y/N)
139,43.093365756316636	44.753572572793104	1.9167950378463896	2.853031271	0
140,43.40404814641691	60.0	0.4423596769604069	0.049200868	0
141,43.71305656291892	60.0	1.1936172081767102	1.206046866	0
142,44.02374206291893	60.0	0.893827764144	0.311209574	0
143,44.334427562918926	60.0	-0.7560933779279999	0.898332537	0
144,44.64316754286148	60.0	-1.5726434633106257	1.200454198	0
145,44.953853042861475	60.0	-1.5515014162479999	0.294617567	0
146,45.26453854286147	60.0	-1.166564275464	0.168495081	0
147,45.575168121770545	60.0	-0.8024164661965816	0.223753896	0
148,45.885836213999845	60.0	-0.3815844221677564	0.136381893	0
149,46.19652171399984	60.0	0.9481439315039999	0.081142134	0
150,46.50720721399984	60.0	1.0867485639919998	0.056224857	0
151,46.817738622815305	60.0	0.9127085504986596	1.090824464	0
152,47.12745292721235	60.0	-0.8513003087755983	1.249635547	0
153,47.438119786828	60.0	-0.9008994814724108	1.06353828	0
154,47.7478937290466	60.0	-1.7730569894107489	1.435375655	0
155,48.057439018543256	60.0	2.1841597801371146	0.361039417	1
156,48.36757522490155	60.0	1.7281549553076414	0.406067859	0
157,48.67826072490155	60.0	1.7267933199999999	0.1855945	0
158,48.988946224901554	60.0	1.162006169688	0.000109673	0
159,49.29963172490155	60.0	0.3192000027328	4.88e-08	0
160,49.61031722490155	60.0	1.184425803568	0.000460778	0
161,49.92100272490155	60.0	-0.399365420104	0.518474641	0
162,50.230160264354126	60.0	0.5397163623111689	0.844546741	0
163,50.540845764354124	60.0	-0.6903467978399999	0.32237861	0
164,50.85153126435412	60.0	0.30240008007999997	1.43e-06	0
165,51.16221676435413	60.0	0.176657612208	0.804600218	0
166,51.47022229850116	60.0	0.8184219211642242	1.249387992	0
167,51.78090779850117	60.0	-0.609631454432	0.063724028	0
168,52.08949802971042	60.0	-0.47044790208166837	1.264326774	0
169,52.400179187259184	60.0	-0.32530613461969876	0.891055529	0
170,52.71086468725918	60.0	-0.48969005551199996	0.005534723	0
171,53.02155018725918	60.0	-0.8651996735199998	5.83e-06	0
172,53.332235687259185	60.0	-0.4563999822479999	3.17e-07	0
173,53.642921187259184	60.0	-0.8063997356799999	4.72e-06	0
174,53.95360668725918	60.0	0.10080038808	6.93e-06	0
175,54.26429218725918	60.0	-0.051444306704	0.031351666	0
176,54.57492736012282	60.0	0.010430707307759591	0.736351738	0
177,54.88448941271776	60.0	0.37040868657206255	1.495932162	0
178,55.1950257897672	60.0	0.479297283464551	0.855182438	0
179,55.5057112897672	60.0	-0.189389772208	0.018039782	0
180,55.81602273082532	60.0	-0.3375116902497784	1.331865447	0
181,56.12542820805661	60.0	-0.394275414073209	1.494532444	0
182,56.43611370805661	60.0	0.747335694056	0.245280751	0
183,56.74679920805661	60.0	-1.0975998398399998	2.86e-06	0
184,57.057484708056606	60.0	1.0248002492	3.95e-06	0
185,57.36817020805661	60.0	0.25200006664	1.19e-06	0
186,57.67885570805661	60.0	-0.361195378096	0.200082534	0
187,57.98914663138217	60.0	1.1183373714695175	0.345385666	0
188,58.29969916463684	60.0	0.5161101454026046	0.162378232	0
189,58.61038466463684	60.0	0.45400166812	0.307173145	0
190,58.921070164636845	60.0	-0.0643999356	1.15e-06	0
191,59.23175566463684	60.0	-0.8819999048	1.7e-06	0
192,59.54244116463684	60.0	-0.7727998739999999	2.25e-06	0
193,59.85312666463684	60.0	-0.7279998431999999	2.8e-06	0
194,60.163812164636845	60.0	-0.6327999047999999	1.7e-06	0
195,60.47449766463684	60.0	0.20440000273279998	4.88e-08	0
196,60.78518316463684	60.0	0.0011714746960000016	0.570919191	0
197,61.094155551935614	60.0	-0.6927989736707421	0.952055037	0
198,61.40484105193561	60.0	-1.476950425048	0.375885267	0
199,61.71552655193561	60.0	0.6635999764351999	7.92e-08	0
200,62.02621205193561	60.0	-0.6971999877359999	2.19e-07	0
201,62.336897551935614	60.0	0.6377734098400001	0.53881039	0
202,62.64525165912014	60.0	1.773353782892387	1.137941174	0
203,62.95593715912014	60.0	0.63787390548	0.590604955	0
204,63.26662265912014	60.0	-1.3019987736	2.19e-05	0
205,63.57730815912014	60.0	0.4564007895999999	1.41e-05	0
206,63.88799365912014	60.0	-0.3331985888	2.52e-05	0
207,64.19867915912015	60.0	-0.8315988631999999	2.03e-05	0
208,64.50936465912014	60.0	-0.031753707552	0.082969508	0
209,64.8199513632438	60.0	0.30274624825925606	0.204528914	0
210,65.1306368632438	60.0	-1.6171962980319996	0.121494678	0
211,65.4413223632438	60.0	-1.2991999744079998	4.57e-07	0
212,65.7520078632438	60.0	0.9436002139199999	4.32e-06	0
213,66.0626933632438	60.0	1.62120030296	5.41e-06	0
214,66.3733788632438	60.0	-0.273568285536	0.214852044	0
215,66.68395437933405	60.0	1.1218185315077114	0.275479722	0
216,66.99463987933406	60.0	-0.366446655344	0.206309726	0
217,67.3047158221502	60.0	-0.5229783434555969	1.281938828	0
218,67.61502726320832	60.0	1.2772839323595984	1.232665118	0
219,67.92571276320831	60.0	0.5150682309359998	0.097646481	0
220,68.23639826320832	60.0	0.487206842528	0.000122188	0
221,68.54708376320832	60.0	-0.179193267064	0.000120231	0
222,68.85776926320831	60.0	-0.268694367704	0.451886291	0
223,69.16570520411405	60.0	-0.48314977261345937	1.15893676	0
224,69.47639070411404	60.0	-1.688572973528	0.696911187	0
225,69.78707620411404	60.0	-1.4811993896	1.09e-05	0
226,70.09776170411405	60.0	-1.819999975752	4.33e-07	0
227,70.40844720411404	60.0	-1.031487394504	0.330582241	0
228,70.7184218479229	60.0	-0.05921379349247506	0.646509393	0
229,71.0291073479229	60.0	0.054009102728000004	0.314448263	0
230,71.33979284792291	60.0	0.072800019824	3.54e-07	0
231,71.6504783479229	60.0	-1.0863939999919998	0.000107143	0
232,71.9611638479229	60.0	-1.1087877637199999	0.000218505	0
233,72.27184934792291	60.0	-0.391986444304	0.000242066	0
234,72.5825348479229	60.0	-0.44239179672800005	0.000146487	0
235,72.8932203479229	60.0	-0.012647981079999999	0.224143195	0
236,73.20366538144695	60.0	0.5855761028223582	0.3488928	0
237,73.51435088144696	60.0	-0.7882266890959997	0.124523409	0
238,73.82503638144695	60.0	-0.391991607616	0.000149864	0
239,74.13572188144695	60.0	0.686009270744	0.000165549	0
240,74.44640738144695	60.0	-0.7923930133839999	0.000124761	0
241,74.75709288144695	60.0	-0.030501667112	0.005327373	0
242,75.06282791216556	60.0	-1.057276578108908	0.732567189	0
243,75.36997657707062	60.0	0.267086733303188	1.583133515	0
244,75.68065959295363	60.0	-0.7183558231450851	0.972327784	0
245,75.99098282881394	60.0	-0.3719639809204225	0.816483012	0
246,76.30150056547902	60.0	0.5321217690975475	0.747447088	0
247,76.61218606547902	60.0	-0.547967760816	0.064861414	0
248,76.92287156547901	60.0	-0.6177380646639998	0.118963131	0
249,77.23334951830658	60.0	-0.3618717946728853	0.292515882	0
250,77.54403501830659	60.0	-0.21429170078399998	0.173362486	0
251,77.85472051830659	60.0	-0.4759984263999999	2.81e-05	0
252,78.16540601830658	60.0	-0.1819979392	3.68e-05	0
253,78.47609151830659	60.0	0.071286253528	0.022968813	0
254,78.78672481388416	60.0	0.1115744968272557	0.492149642	0
255,79.09738981516556	60.0	-0.05867122088969531	0.452398602	0
256,79.40381520335669	47.57127419960998	0.11869216324666637	2.525063958	0
257,79.71395886206594	57.9601188124462	-0.9285296975720775	1.700996489	0
258,80.02464436206594	60.0	1.07508139984	0.44788214	0
259,80.33412440083465	60.0	0.46322652068741377	1.24463633	0
260,80.64414006109467	60.0	1.6985075302341108	0.917076618	0
261,80.95482493531195	60.0	1.2307411749342545	0.577476877	0
262,81.26536565481263	60.0	-0.4658311718897532	0.385642336	0
263,81.57605115481262	60.0	-0.6378269478559999	0.060233074	0
264,81.88673665481262	60.0	0.49280002592799993	4.63e-07	0
265,82.19742215481263	60.0	0.5544000051183999	9.14e-08	0
266,82.50810765481262	60.0	1.504486197032	0.415824947	0
267,82.81812765752387	60.0	0.1637177499825638	0.368057351	0
268,83.12813709798448	60.0	1.0021955194364573	0.909383995	0
269,83.43826211630936	60.0	-0.4232454382706747	1.508401598	0
270,83.7464490859417	60.0	-1.2144462984736715	1.44951897	0
271,84.05713333437625	60.0	-0.4540613065466481	0.791798236	0
272,84.36781883437625	60.0	0.700048539904	0.000866784	0
273,84.67850433437624	60.0	0.9464105068880001	0.000187123	0
274,84.98918983437625	60.0	0.89600839888	0.00014998	0
275,85.29987533437624	60.0	0.314363820232	0.513639647	0
276,85.60777211722719	55.25254157005462	-0.43199817537090573	1.87179133	0
277,85.9182886023268	60.0	-0.2238718725332234	1.405227224	0
278,86.2289741023268	60.0	-0.878462038328	0.063177887	0
279,86.53965960232681	60.0	-0.7615999631520001	6.58e-07	0
280,86.8503451023268	60.0	0.064400025256	4.51e-07	0
281,87.1610306023268	60.0	-0.008399943439999998	1.01e-06	0
282,87.47171610232681	60.0	0.022400036512000003	6.52e-07	0
283,87.7824016023268	60.0	0.42840000545999996	9.75e-08	0
284,88.0930871023268	60.0	0.11200000582399999	1.04e-07	0
285,88.4037726023268	60.0	0.8344000368479999	6.58e-07	0
286,88.7144581023268	60.0	-0.52919999454	9.75e-08	0
287,89.0251436023268	60.0	-0.47599997474399997	4.51e-07	0
288,89.3358291023268	60.0	-0.38359999417600005	1.04e-07	0
289,89.6465146023268	60.0	-0.59079999454	9.75e-08	0
290,89.95720010232681	60.0	-0.6905459231439999	0.818822801	0
291,90.26258157282213	46.70086263489224	-0.2862683824317034	2.620065484	0
292,90.57296757535555	55.7719719127506	-0.30631753316721366	1.837087962	0
293,90.88365307535554	60.0	-0.7396881656079999	0.041282757	0
294,91.19433174878732	60.0	-0.2631045808543449	0.551819272	0
295,91.49723954903666	38.57136648954861	0.6918244272696804	3.840890279	0
296,91.80542029886958	40.49914075711572	0.05113987776607985	3.48393732	0
297,92.11588956679469	60.0	0.03450124413486281	0.115745411	0
298,92.42607610028934	60.0	0.012436124960000001	0.22207366	0
299,92.7352759076964	60.0	0.5787299188392875	0.53761448	0
300,93.0444421510654	60.0	0.3593162518086045	0.53761448	0
301,93.3551276510654	60.0	0.159000006	0.0	0
302,93.6640074432733	56.03599647009511	0.10270782325995269	1.819817147	0
303,93.97335388951396	60.0	-0.3320221477555482	0.201607838	0
304,94.26833920951329	40.13870681322477	0.6049828287893647	3.546787741	0
305,94.57899239697855	51.330948412612805	0.12503493085497774	2.168719449	0
306,94.88961264618848	60.0	0.2097306223611068	0.423969736	0
307,95.20027142767044	60.0	0.21924685063191185	0.419036179	0
308,95.51095692767043	60.0	0.054372911675999995	0.231075973	0
309,95.82154734852473	60.0	-0.08341155810183432	0.301256223	0
310,96.13223284852472	60.0	0.15623189939999998	0.06932545	0
311,96.44291649019047	60.0	0.38992529566301987	0.043581541	0
312,96.50716873663951	60.0	0.27614094484661467	0.043581541	0
313,96.81785423663952	60.0	0.219000006	0.0	0
314,97.12760582180526	60.0	-0.01780778406711086	0.622349588	0
315,97.41742381466558	43.161152886677364	-0.005642020410826839	3.067438597	0
316,97.72795831436682	60.0	0.546406953014222	1.16234765	0
317,98.03764713285946	60.0	0.4136261768470792	1.161999942	0
318,98.34833263285945	60.0	0.053126256515999996	0.377188043	0
319,98.65901813285946	60.0	0.016203829703999997	0.000319142	0
320,98.96970363285945	60.0	0.26820080879999997	6.84e-05	0
321,99.28038913285945	60.0	0.374645876736	0.370489228	0
322,99.58918442712415	60.0	0.41136020900792747	0.977405345	0
323,99.89986992712416	60.0	0.4913895561239999	0.799131177	0
324,100.20923563953188	60.0	0.23380215277535701	1.356509981	0
325,100.51989690513082	60.0	0.33918513830312913	0.863290743	0
326,100.82845296547109	47.88079628539242	0.39481131245275086	2.492523276	0
327,101.13226424536812	39.35880082252347	0.435112784553237	3.688741616	0
328,101.4380986977458	43.27780837955011	0.4047593637278203	3.0509243	0
329,101.72624396851116	37.726040501497664	0.8154443808226362	4.014944054	0
330,102.01788196703453	60.0	0.6877917508795357	1.280558069	0
331,102.31406093451116	55.33361353953032	0.8701805252686151	1.866310443	0
332,102.60210367377985	60.0	0.5138038160091787	0.805162895	0
333,102.8963613745519	50.49033346332277	0.5945115136576042	2.241534736	0
334,103.1970676577832	60.0	0.680533095609625	1.074026548	0
335,103.50576912440552	41.93264575765782	0.6307767759383672	3.249805885	0
336,103.80252783966219	60.0	0.6136654826929946	1.095550522	0
337,104.05729554367889	60.0	0.7192651372154863	1.525410527	0
338,104.3058358655452	51.783859189061616	0.8400978427078034	2.13094934	0
339,104.6086846348039	60.0	0.6365143169823132	0.87702837	0
340,104.91937013480388	60.0	0.7964688373679999	1.122402114	0
341,105.21876719269358	46.02386536425621	0.7764062546260645	2.697713158	0
342,105.46089185140417	46.02386536425621	0.5428149656304431	2.697713158	0
343,105.77135334461104	60.0	0.0	0.0	0
344,106.08181483781793	60.0	1.017052991994872	0.243485926	0
345,106.38870251857661	60.0	0.8576403041859492	0.907470752	0
346,106.69492595354988	60.0	0.6857622408613389	1.041060023	0
347,106.99975938190683	60.0	0.6670298037352459	0.243388574	0
348,107.29676167353918	60.0	0.7217361381253606	1.093967226	0
349,107.59550442217353	51.90985270284496	0.602010484954245	2.120617584	0
350,107.88769543100712	43.06830622577512	0.7042926442319121	3.080678422	0
351,108.18089182526447	60.0	0.5927079291010026	0.33054071	0
352,108.47869258093088	56.52286496444541	0.32818352520658445	1.788601612	0
353,108.77909128856189	60.0	0.4716780666902849	0.625787549	0
354,109.08223955528716	60.0	0.008688722429364753	0.775303362	0
355,109.38532133867085	59.06575280883661	0.2533750040799852	1.637911621	0
356,109.69072270105386	60.0	0.31294545965401954	1.256612345	0
357,109.99251141530118	41.1369225282457	0.40433923782485215	3.376745686	0
358,110.30283341854783	55.29314003425436	-0.11633382580206043	1.869043649	0
359,110.61308520283258	60.0	0.8372914146229189	0.677825171	0
360,110.91705554221025	42.10952060505758	0.22755325368439316	3.222562558	0
361,111.20471055032456	39.43932211596331	0.24303191528621415	3.673694753	0
362,111.50759100633526	51.374623526631446	0.6894480252441528	2.165033629	0
363,111.80178097220023	32.06703342651853	0.6337947419143448	5.557050997	0
364,112.11161394540947	60.0	0.7110968570134081	1.399305889	0
365,112.41698733777112	37.26373225635178	0.6695864612594241	4.115183919	0
366,112.71938064103047	35.48772892579681	0.4693215685342695	4.537384019	0
367,113.03006614103047	53.904585854553524	0.5149988765400001	1.966575045	0
368,113.32780102012408	60.0	0.45886451648319004	1.55978358	0
369,113.63080513213276	60.0	0.10912892743726356	0.993806192	0
370,113.94125886957323	60.0	0.01635572807637372	1.162828034	0
371,113.99885039265693	60.0	0.14018849855761656	1.162828034	0
372,114.30316187167297	60.0	-0.26116348399158	0.850322862	0
373,114.57579025625722	60.0	0.0580667959539381	0.850322862	0
374,114.82244845052192	26.387468653538207	-0.06022702459610456	8.206660934	0
375,115.11386151305398	48.8231000375841	0.34604846934131955	2.397238523	0
376,115.41055126085207	60.0	-0.5733794342611792	0.545412857	0
377,115.71819515664215	50.90297659489668	0.6172478423892873	2.205340198	0
378,116.01048558713481	56.43821846243626	0.20201387916878397	1.793970754	0
379,116.31424280427517	60.0	-0.1174599595367281	0.542037098	0
380,116.61508330581725	60.0	0.12977307718046346	1.003535818	0
381,116.91949420649235	53.07863527476127	-0.0007680074176541527	2.028254533	0
382,117.2248141618179	45.80452848494471	-0.11812105998691046	2.723611239	0
383,117.4993222088386	40.94273953193226	0.11492529969321576	3.408852064	0
384,117.80216475829786	55.79126317418386	0.4264387188356471	1.835817741	0
385,118.11196790315148	54.62125339951268	0.9466068106739898	1.915308023	0
386,118.41984604561807	60.0	0.417641780083033	0.44299999	0
387,118.71633880849441	44.05650704534738	1.0670598957093316	2.944027265	0
388,119.02035327416084	60.0	0.3926926511736094	0.379886972	0
389,119.32542593644223	58.75699944544133	0.3712094811614496	1.655170481	0
390,119.62773286441016	39.13478258614134	0.5177277680064994	3.731093225	0
391,119.9306207727718	51.30880512402552	0.9775273742941873	2.170591757	0
392,120.23406482029519	34.69482991073404	0.14174168721689304	4.747144219	0
393,120.52441098229586	44.516595020039105	0.03460185007199999	2.883487506	0
394,120.81475714429654	47.77977083093115	1.7481124365870693	2.503074792	0
395,121.1193432606575	50.425272255459646	0.06062870303119944	2.247322748	0
396,121.42288113582325	60.0	0.0076215834120000004	0.635131951	0
397,121.726419010989	58.782371092191546	1.7455463593492389	1.65374198	0
398,122.03134689277107	49.30155958702125	0.6823334016529405	2.350935076	0
399,122.34182484559864	60.0	0.5793763440875107	1.049809923	0
400,122.6315179498473	34.991330787756084	0.14094358582342068	4.667034718	0
401,122.94089608283996	60.0	0.2620358509632666	0.898213193	0
402,123.22246414685196	29.977092016126345	0.03128776970206676	6.358913968	0
403,123.5258149925157	45.5479412854754	0.1737747697781337	2.754383747	0
404,123.82609438659996	47.9022484212351	0.33034723381020936	2.490291315	0
405,124.13671029335863	60.0	0.3431508337662265	0.739663044	0
406,124.44361847283592	60.0	0.3462729495930042	1.169464721	0
407,124.75101754068487	60.0	0.5116455831581365	0.845055217	0
408,125.06081945292485	60.0	0.47882225221418534	0.991192655	0
409,125.29906987258458	60.0	0.2652395357382785	0.0	0
410,125.6097255441668	60.0	0.4542436232034739	0.0	0
411,125.92041104416681	60.0	0.652649048052	0.037421171	0
412,126.23104932693016	60.0	0.45498263205623046	0.559543112	0
413,126.54154717164542	60.0	0.3778091295538172	0.265238816	0
414,126.85193440673034	60.0	0.048857077977038206	0.36786767	0
415,127.16256584397365	60.0	0.5647351016878762	0.103085726	0
416,127.47317367259866	60.0	0.23738891397815753	0.277532779	0
417,127.78286063275706	55.508600621637925	-0.33830408630863174	1.854562157	0
418,128.0910929612918	60.0	0.10204763941383015	0.893880717	0
419,128.3998273472798	60.0	-0.14136155946324183	1.100762425	0
420,128.71027486492082	60.0	-0.415920592527944	0.616972511	0
421,129.00266037455918	29.178621799984334	-0.10626269523206988	6.711697919	0
422,129.29337811138475	24.595257505179283	0.9770656626465297	9.446244962	0
423,129.60202117279917	42.23365967041585	0.7867632029319804	3.203645989	0
424,129.85552127463208	42.23365967041585	0.31125860203947775	3.203645989	0
425,130.13055561350708	60.0	0.7252188511719853	0.0	0
426,130.36481248050708	60.0	0.0	0.0	0
427,130.67394392722434	60.0	0.38653343372426346	0.0	0
428,130.98179660273837	41.27043852655643	1.0714617168087825	3.35493248	0
429,131.28493057159267	33.492262603368914	0.5955188229890281	5.094164627	0
430,131.5758595723213	51.63314444588306	0.5056388789238042	2.14340778	0
431,131.88568260906263	43.03894760624734	0.18202112639310214	3.084882768	0
432,132.18489635418095	55.70895216752664	0.8008497089729714	1.841246658	0
433,132.49482503231863	54.00653632211698	1.032166979966353	1.959157276	0
434,132.79260217936672	60.0	0.2972382893706413	1.190169182	0
