Dist(mi)	SpdLim(mph)	Grade(%)	Curve(Doc)	Catenary(Y/N)
0.0	60.0	0.0	0.0	0
0.3090301667239435	60.0	0.2991941071002122	0.0	0
0.6197032461390245	60.0	0.8734714439409396	0.246604615	0
0.9301917801690813	60.0	1.0698372884120217	0.624543137	0
1.2408772801690813	60.0	1.596491299056	0.260235897	0
1.5500292445567672	60.0	1.0942755268050144	0.889268302	0
1.8607122604397834	60.0	1.332657403059019	0.563477915	0
2.1713977604397834	60.0	0.677009459904	0.004364248	0
2.4820832604397833	60.0	0.48960276	5.75e-05	0
2.7927687604397833	60.0	-0.861595632	9.1e-05	0
3.1034542604397832	60.0	-0.023996726399999998	6.82e-05	0
3.414139760439783	60.0	0.5616035904	7.53e-05	0
3.724825260439783	60.0	-1.6871964192	7.46e-05	0
4.0355107604397835	60.0	-1.362610026816	0.312291108	0
4.346063900525372	60.0	-1.3651472931011956	0.571791396	0
4.656349855616968	60.0	-1.0234357601561634	0.856943482	0
4.966289096005323	60.0	-1.0356156308702538	0.878608203	0
5.276921784751977	60.0	-0.6751115022017963	0.43764221	0
5.587004554136332	60.0	-0.08867302441517166	0.20663006	0
5.897290509227928	60.0	0.16420655599793893	0.066656233	0
6.206640065368291	60.0	-0.08833514634033744	1.122424196	0
6.517325565368291	60.0	-0.028304533632	0.260322216	0
6.828011065368291	60.0	0.39120568564799996	0.000118451	0
7.138696565368291	60.0	0.8952639181440001	0.051331628	0
7.449204346613621	60.0	0.0008128088180115974	0.467191074	0
7.759885504162389	60.0	0.7790091538211025	0.279133935	0
8.070010522487284	60.0	0.6205812058867718	0.606545621	0
8.380696022487284	60.0	0.183945817584	0.332204533	0
8.691239226104937	60.0	0.21185425071372077	0.211705709	0
9.00191789953672	60.0	0.8638207551667594	0.595883401	0
9.311958419918396	60.0	-0.08641383598134797	0.955432596	0
9.622549466493291	60.0	0.9204738865293309	0.37082206	0
9.933234966493291	60.0	1.4688451582079998	0.150939796	0
10.243261189003986	60.0	1.1120819595301903	0.820952723	0
10.553465756052084	60.0	1.1063685144457802	1.465934002	0
10.863170105029374	60.0	0.10209669681516091	1.274321696	0
11.17385497924664	60.0	-0.7588331550770747	0.391008566	0
11.48454047924664	60.0	-0.792597602064	0.037549957	0
11.795150791988624	60.0	1.110567437119959	0.681388293	0
12.105396356473928	60.0	-0.7232645520418807	1.004747777	0
12.4151000986203	60.0	-1.3675824445873117	1.152372284	0
12.72576944235293	60.0	-1.498787242868203	1.176950726	0
13.034679062978599	60.0	-0.616805751166992	0.978927063	0
13.345364562978599	60.0	1.1271150261599998	0.581563545	0
13.656050062978599	60.0	0.6048089742720001	0.000186964	0
13.966735562978599	60.0	-0.026395119311999997	0.000101681	0
14.277421062978599	60.0	0.074680166304	0.205836798	0
14.587556036785383	60.0	0.06735920164479892	0.852340386	0
14.897962538037392	55.82767232714957	-0.3515904090588664	1.83342399	0
15.207162345444457	59.382994833077454	-0.01626776391759215	1.620457923	0
15.516926976977862	50.71409245464469	1.009321840141848	2.221798326	0
15.825801175231208	52.84157671381652	1.0373065447343082	2.046493717	0
16.13647734559419	60.0	1.1854206547167738	0.645541916	0
16.445705104070814	60.0	1.0895268058778285	0.293349903	0
16.755736294815474	60.0	0.7805523891916262	0.077424136	0
17.06591786007617	60.0	0.7316701205863014	1.270463723	0
17.376344878998598	59.172719345524904	1.0847731226992698	1.631995267	0
17.682930578173703	47.95657781259217	1.2428906437357188	2.484652073	0
17.993381812483232	60.0	-0.3153879011986695	1.485493234	0
18.304067312483234	60.0	-0.680639064816	0.070019483	0
18.61475095414898	60.0	-1.2537840373120923	0.579658927	0
18.924674038332103	60.0	-1.1441086489789798	1.225903552	0
19.23338917710481	60.0	-0.7854700438279291	1.398691127	0
19.544074051322077	60.0	-0.5788342377294213	0.990979666	0
