Reg,Tech,trnLen,eDie,eBio,eHyd,eBat,eCat
NE,BioHyb,150 Cars,0,58.173813,0,0,-3.999493
NE,HydHyb,50 Cars,0,0,46.971664,0,-2.6862342
NE,HydHyb,100 Cars,0,0,62.04588,0,-2.2227936
NE,HydHyb,150 Cars,0,0,46.91572,0,-2.6033843
NE,Bat,50 Cars,0,0,0,30.523945,8.307804
NE,Bat,100 Cars,0,0,0,31.323689,8.194743
NE,Bat,150 Cars,0,0,0,30.578772,7.9656944
NW,Diesel,50 Cars,82.89392,0,0,0,-35.194447
NW,Diesel,100 Cars,83.54204,0,0,0,-36.19574
NW,Diesel,150 Cars,81.21969,0,0,0,-35.389027
NW,BioDie,50 Cars,0,82.89392,0,0,-35.194447
NW,BioDie,100 Cars,0,83.54204,0,0,-36.19574
NW,BioDie,150 Cars,0,81.21969,0,0,-35.389027
NW,DieHyb,50 Cars,76.20629,0,0,0,-4.516374
NW,DieHyb,100 Cars,76.365456,0,0,0,-4.6686826
NW,DieHyb,150 Cars,74.30543,0,0,0,-4.5158024
NW,BioHyb,50 Cars,0,76.20629,0,0,-4.516374
NW,BioHyb,100 Cars,0,76.365456,0,0,-4.6686826
NW,BioHyb,150 Cars,0,74.30543,0,0,-4.5158024
NW,HydHyb,50 Cars,0,0,61.389847,0,-2.9554837
NW,HydHyb,100 Cars,0,0,86.68384,0,-2.4772618
NW,HydHyb,150 Cars,0,0,59.97465,0,-2.892125
NW,Bat,50 Cars,0,0,0,35.00222,10.61781
NW,Bat,100 Cars,0,0,0,35.24912,10.12321
NW,Bat,150 Cars,0,0,0,34.508354,9.873462
SE,Diesel,50 Cars,82.56808,0,0,0,-35.194447
SE,Diesel,100 Cars,83.45229,0,0,0,-36.19574
SE,Diesel,150 Cars,81.647766,0,0,0,-35.389027
SE,BioDie,50 Cars,0,82.56808,0,0,-35.194447
SE,BioDie,100 Cars,0,83.45229,0,0,-36.19574
SE,BioDie,150 Cars,0,81.647766,0,0,-35.389027
SE,DieHyb,50 Cars,79.71273,0,0,0,-4.631467
SE,DieHyb,100 Cars,80.30006,0,0,0,-4.701899
SE,DieHyb,150 Cars,78.18738,0,0,0,-4.569732
SE,BioHyb,50 Cars,0,79.71273,0,0,-4.631467
SE,BioHyb,100 Cars,0,80.30006,0,0,-4.701899
SE,BioHyb,150 Cars,0,78.18738,0,0,-4.569732
SE,HydHyb,50 Cars,0,0,64.19606,0,-3.0176787
SE,HydHyb,100 Cars,0,0,93.64709,0,-2.447258
SE,HydHyb,150 Cars,0,0,63.11718,0,-2.8936794
SE,Bat,50 Cars,0,0,0,36.319096,11.218049
SE,Bat,100 Cars,0,0,0,36.234592,10.573895
SE,Bat,150 Cars,0,0,0,34.86934,10.003543
SW,Diesel,50 Cars,76.64381,0,0,0,-35.194447
SW,Diesel,100 Cars,79.23852,0,0,0,-36.19574
SW,Diesel,150 Cars,77.306435,0,0,0,-35.389027
SW,BioDie,50 Cars,0,76.64381,0,0,-35.194447
SW,BioDie,100 Cars,0,79.23852,0,0,-36.19574
SW,BioDie,150 Cars,0,77.306435,0,0,-35.389027
SW,DieHyb,50 Cars,67.77508,0,0,0,-4.470743
SW,DieHyb,100 Cars,67.98498,0,0,0,-4.562592
SW,DieHyb,150 Cars,66.06253,0,0,0,-4.3552637
SW,BioHyb,50 Cars,0,67.77508,0,0,-4.470743
SW,BioHyb,100 Cars,0,67.98498,0,0,-4.562592
SW,BioHyb,150 Cars,0,66.06253,0,0,-4.3552637
SW,HydHyb,50 Cars,0,0,54.583935,0,-2.950665
SW,HydHyb,100 Cars,0,0,73.9951,0,-2.4379478
SW,HydHyb,150 Cars,0,0,53.301823,0,-2.7945366
SW,Bat,50 Cars,0,0,0,31.984632,8.772169
SW,Bat,100 Cars,0,0,0,32.634533,8.555153
SW,Bat,150 Cars,0,0,0,31.959326,8.390777
TX,Diesel,50 Cars,89.38676,0,0,0,-35.194447
TX,Diesel,100 Cars,89.65845,0,0,0,-36.19574
TX,Diesel,150 Cars,86.73222,0,0,0,-35.389027
TX,BioDie,50 Cars,0,89.38676,0,0,-35.194447
TX,BioDie,100 Cars,0,89.65845,0,0,-36.19574
TX,BioDie,150 Cars,0,86.73222,0,0,-35.389027
TX,DieHyb,50 Cars,88.15896,0,0,0,-4.854618
TX,DieHyb,100 Cars,88.10677,0,0,0,-4.987507
TX,DieHyb,150 Cars,85.55809,0,0,0,-4.806727
TX,BioHyb,50 Cars,0,88.15896,0,0,-4.854618
TX,BioHyb,100 Cars,0,88.10677,0,0,-4.987507
TX,BioHyb,150 Cars,0,85.55809,0,0,-4.806727
TX,HydHyb,50 Cars,0,0,70.93293,0,-3.1348383
TX,HydHyb,100 Cars,0,0,111.79666,0,-2.4687996
TX,HydHyb,150 Cars,0,0,69.08395,0,-3.0409014
TX,Bat,50 Cars,0,0,0,39.678165,12.841403
TX,Bat,100 Cars,0,0,0,39.606567,12.185376
TX,Bat,150 Cars,0,0,0,38.476337,11.787185
