Reg,Tech,TrnLen,eTrn,ebtMin,eDie,eBio,eHyd,eBat,eCat,eRcv
N_CEN,DieHyb,100 Cars,8.229877,0.46790174,20.321253,0,0,0,0.074979156,5.544024
N_CEN,DieHyb,150 Cars,7.762642,0.4505618,19.97709,0,0,0,0.059329428,5.090475
N_CEN,BioHyb,50 Cars,8.666692,0.36792767,0,20.855139,0,0,0.079144776,5.979646
N_CEN,BioHyb,100 Cars,8.150302,0.48135954,0,20.164404,0,0,0.07494115,5.4966826
N_CEN,BioHyb,150 Cars,7.8646097,0.6325349,0,20.053864,0,0,0.05949964,5.133356
N_CEN,HydHyb,50 Cars,8.601767,0.41750634,0,0,15.586914,0,0.08130798,5.0113316
N_CEN,HydHyb,100 Cars,8.193078,0.6019283,0,0,11.721603,0,0.077969775,4.795482
N_CEN,HydHyb,150 Cars,7.751059,0.5451615,0,0,14.888437,0,0.05641061,4.293088
N_CEN,Bat,50 Cars,8.60004,0.6830573,0,0,0,3.7584248,0.08855925,5.972526
N_CEN,Bat,100 Cars,8.083086,0.66127163,0,0,0,3.5138254,0.075012945,5.4818735
N_CEN,Bat,150 Cars,7.788427,0.6543025,0,0,0,3.3954504,0.06229894,5.1316843
NE,Diesel,50 Cars,27.303425,0,27.303425,0,0,0,0,0
NE,Diesel,100 Cars,26.365347,0,26.365347,0,0,0,0,0
NE,Diesel,150 Cars,26.574902,0,26.574902,0,0,0,0,0
NE,BioDie,50 Cars,28.621838,0,0,28.621838,0,0,0,0
NE,BioDie,100 Cars,27.837786,0,0,27.837786,0,0,0,0
NE,BioDie,150 Cars,26.15206,0,0,26.15206,0,0,0,0
NE,DieHyb,50 Cars,9.471436,-0.38212654,24.11408,0,0,0,0.12218699,4.911839
NE,DieHyb,100 Cars,9.168119,0.08958019,23.783674,0,0,0,0.1283895,4.7465963
NE,DieHyb,150 Cars,8.717476,0.08046097,23.639086,0,0,0,0.09930885,4.3167324
NE,BioHyb,50 Cars,9.622697,-0.13031375,0,25.00998,0,0,0.119286895,5.034933
NE,BioHyb,100 Cars,9.110456,0.15543397,0,22.916851,0,0,0.13153106,4.70177
NE,BioHyb,150 Cars,8.827523,0.27913147,0,23.369438,0,0,0.10538675,4.4294176
NE,HydHyb,50 Cars,9.577718,-0.2214093,0,0,19.62829,0,0.12475655,4.0279593
NE,HydHyb,100 Cars,9.130126,0.1146856,0,0,18.041525,0,0.13382451,3.8549883
NE,HydHyb,150 Cars,8.716873,0.007447823,0,0,18.269943,0,0.098896176,3.4520133
NE,Bat,50 Cars,9.58134,0.49095845,0,0,0,4.1736794,0.12969835,5.033239
NE,Bat,100 Cars,9.108994,0.6371812,0,0,0,3.9222343,0.12963843,4.6417766
NE,Bat,150 Cars,8.753506,0.6844249,0,0,0,3.795806,0.103175074,4.390588
NW,Diesel,50 Cars,30.67241,0,30.67241,0,0,0,0,0
NW,Diesel,100 Cars,29.725748,0,29.725748,0,0,0,0,0
NW,Diesel,150 Cars,29.758461,0,29.758461,0,0,0,0,0
NW,BioDie,50 Cars,31.548014,0,0,31.548014,0,0,0,0
NW,BioDie,100 Cars,30.767363,0,0,30.767363,0,0,0,0
NW,BioDie,150 Cars,29.328348,0,0,29.328348,0,0,0,0
NW,DieHyb,50 Cars,10.858003,-1.1224713,25.182512,0,0,0,0.4202279,5.215812
NW,DieHyb,100 Cars,10.646062,-0.6577408,28.109652,0,0,0,0.4105947,5.1901383
NW,DieHyb,150 Cars,10.331679,-0.7884623,26.563063,0,0,0,0.387287,4.8335223
NW,BioHyb,50 Cars,11.14799,-0.9555707,0,27.138845,0,0,0.4217478,5.35691
NW,BioHyb,100 Cars,10.66067,-0.66613084,0,28.217089,0,0,0.41125673,5.1515303
NW,BioHyb,150 Cars,10.395111,-0.5552357,0,27.968859,0,0,0.38504767,4.962576
NW,HydHyb,50 Cars,11.08971,-0.98290014,0,0,21.645887,0,0.42698574,4.2076335
