,energy_system_scenario,freight_demand_scenario,year,region,technology,levelized_train_cost (cents/ton-mile),levelized_fuel_cost (cents/ton-mile),levelized_infrastructure_cost (cents/ton-mile),levelized_contingency_cost (cents/ton-mile),total_levelized_cost (cents/ton-mile)
0,Reference/business as usual,Agricultural Reduction,2025,california,battery,0.926269647276206,7.229206218956706,36.02350198432239,8.83579557011106,53.01477342066636
1,Reference/business as usual,Agricultural Reduction,2025,california,battery,0.926269647276206,7.229206218956706,39.32918025967222,9.496931225181026,56.98158735108616
2,Reference/business as usual,Agricultural Reduction,2025,california,biodiesel,0.0,0.0,inf,0.0,0.0
3,Reference/business as usual,Agricultural Reduction,2025,california,catenary,0.0,7.229206218956703,48.34106129145146,11.114053502081633,66.6843210124898
4,Reference/business as usual,Agricultural Reduction,2025,california,diesel,0.3610315082167762,9.931262170952955,2.0176167673595873,2.4619820893058635,14.771892535835182
5,Reference/business as usual,Agricultural Reduction,2025,california,hydrogen,0.4116604217193161,-0.47758353548766075,96.77374863362894,19.34156510397212,116.0493906238327
6,Reference/business as usual,Agricultural Reduction,2025,california,hydrogen,0.4116604217193161,-0.47758353548766075,98.86087859420144,19.758991096086618,118.5539465765197
7,Reference/business as usual,Agricultural Reduction,2025,central,battery,0.9774485339943646,1.13977788463649,16.331286117623385,3.6897025072508485,22.13821504350509
8,Reference/business as usual,Agricultural Reduction,2025,central,battery,0.9774485339943646,1.13977788463649,17.409728114464354,3.9053909066190413,23.432345439714247
9,Reference/business as usual,Agricultural Reduction,2025,central,biodiesel,0.0,0.0,inf,0.0,0.0
10,Reference/business as usual,Agricultural Reduction,2025,central,catenary,0.0,1.1397778846364903,16.416569092702684,3.511269395467835,21.06761637280701
11,Reference/business as usual,Agricultural Reduction,2025,central,diesel,0.3412355310536261,1.9737483015145492,0.5455275013347776,0.5721022667805905,3.4326136006835433
12,Reference/business as usual,Agricultural Reduction,2025,central,hydrogen,0.3913265515780493,-0.8449757637628653,39.37612037456436,7.784494232475908,46.70696539485545
13,Reference/business as usual,Agricultural Reduction,2025,central,hydrogen,0.3913265515780493,-0.8449757637628653,40.031147602807,7.915499678124438,47.49299806874663
14,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,battery,0.9845572410987572,1.8732618506201857,62.061294671569655,12.983822752657717,77.90293651594631
15,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,battery,0.9845572410987572,1.8732618506201857,65.39825604043652,13.65121502643109,81.90729015858655
16,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,biodiesel,0.0,0.0,inf,0.0,0.0
17,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,catenary,0.0,1.8732618506201866,21.117058551806178,4.598064080485273,27.588384482911636
18,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,diesel,0.3314633276654676,3.9276300234177426,0.6683873291759979,0.9854961360518416,5.912976816311049
19,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,hydrogen,0.4103885757988237,-2.3088100270528806,151.72588949600012,29.965493608949213,179.79296165369527
20,Reference/business as usual,Agricultural Reduction,2025,middle_atlantic,hydrogen,0.4103885757988237,-2.3088100270528806,153.83145144187637,30.386605998124466,182.31963598874677
21,Reference/business as usual,Agricultural Reduction,2025,north_central,battery,0.9454058222860825,0.5746692432104206,20.208823865229206,4.345779786145141,26.07467871687085
22,Reference/business as usual,Agricultural Reduction,2025,north_central,battery,0.9454058222860825,0.5746692432104206,21.071599399145875,4.5183348929284755,27.110009357570853
23,Reference/business as usual,Agricultural Reduction,2025,north_central,biodiesel,0.0,0.0,inf,0.0,0.0
24,Reference/business as usual,Agricultural Reduction,2025,north_central,catenary,0.0,0.5746692432104207,8.44231842773503,1.8033975341890902,10.82038520513454
25,Reference/business as usual,Agricultural Reduction,2025,north_central,diesel,0.29165010484640996,0.9507904036920003,0.23081515046791617,0.2946511318012653,1.7679067908075916
26,Reference/business as usual,Agricultural Reduction,2025,north_central,hydrogen,0.6191357968351744,-0.36937757590406917,72.2978357180181,14.50951878778984,87.05711272673905
27,Reference/business as usual,Agricultural Reduction,2025,north_central,hydrogen,0.6191357968351744,-0.36937757590406917,72.83571712395454,14.617095068977129,87.70257041386276
28,Reference/business as usual,Agricultural Reduction,2025,north_east,battery,0.9721116070968507,7.596304611132518,42.627309734340955,10.239145190514064,61.434871143084386
29,Reference/business as usual,Agricultural Reduction,2025,north_east,battery,0.9721116070968507,7.596304611132518,44.693147648162544,10.652312773278382,63.91387663967029
30,Reference/business as usual,Agricultural Reduction,2025,north_east,biodiesel,0.0,0.0,inf,0.0,0.0
31,Reference/business as usual,Agricultural Reduction,2025,north_east,catenary,0.0,7.596304611132518,136.93581268479423,28.90642345918535,173.43854075511211
32,Reference/business as usual,Agricultural Reduction,2025,north_east,diesel,0.3040133516120344,6.918738870333178,4.051575693688922,2.254865583126827,13.529193498760963
33,Reference/business as usual,Agricultural Reduction,2025,north_east,hydrogen,0.5381923370007036,-1.0291370366985584,131.65999779886815,26.233810619834056,157.40286371900436
34,Reference/business as usual,Agricultural Reduction,2025,north_east,hydrogen,0.5381923370007036,-1.0291370366985584,132.99765633687124,26.501342327434678,159.00805396460808
35,Reference/business as usual,Agricultural Reduction,2025,north_west,battery,0.9879352703201122,0.3525200171205967,2.9201752286942226,0.8521261032269862,5.112756619361917
36,Reference/business as usual,Agricultural Reduction,2025,north_west,battery,0.9879352703201122,0.3525200171205967,3.0597294195612776,0.8800369414003975,5.280221648402384
37,Reference/business as usual,Agricultural Reduction,2025,north_west,biodiesel,0.0,0.0,inf,0.0,0.0
38,Reference/business as usual,Agricultural Reduction,2025,north_west,catenary,0.0,0.3525200171205966,11.293122285624433,2.329128460549006,13.974770763294035
39,Reference/business as usual,Agricultural Reduction,2025,north_west,diesel,0.32096515320746943,0.49297737068509345,0.35522146527784865,0.2338327978340823,1.402996787004494
40,Reference/business as usual,Agricultural Reduction,2025,north_west,hydrogen,0.4537470106244724,-0.294576457091567,7.672934246819889,1.5664209600705588,9.398525760423352
41,Reference/business as usual,Agricultural Reduction,2025,north_west,hydrogen,0.4537470106244724,-0.294576457091567,7.769104534821852,1.5856550176709516,9.51393010602571
42,Reference/business as usual,Agricultural Reduction,2025,south_east,battery,0.9810320782082623,1.1372775979133096,27.61344873074861,5.946351681374036,35.67811008824422
43,Reference/business as usual,Agricultural Reduction,2025,south_east,battery,0.9810320782082623,1.1372775979133096,29.227127646916156,6.269087464607546,37.61452478764527
44,Reference/business as usual,Agricultural Reduction,2025,south_east,biodiesel,0.0,0.0,inf,0.0,0.0
45,Reference/business as usual,Agricultural Reduction,2025,south_east,catenary,0.0,1.1372775979133094,15.832398261687008,3.3939351719200634,20.36361103152038
46,Reference/business as usual,Agricultural Reduction,2025,south_east,diesel,0.3284362790966162,2.316063755285018,0.5156547742640368,0.6320309617291343,3.7921857703748056
47,Reference/business as usual,Agricultural Reduction,2025,south_east,hydrogen,0.4334485849475726,-1.4732044133046762,71.20069053997815,14.032186942324211,84.19312165394527
